,data,label
257,BLOCKHASH\n \,1.0
258,"self, list(_get_zoom_level(zoom, self)), multi, max_chunksize",0.0
259,"def _file_exists_in_gcs(gcs_file_path, credentials=None):",0.0
260,The annotation to display,1.0
261,"cut1, cut2 = data.paramsdict[""restriction_overhang""]",0.0
262,"_ctx.rect(x, y, 40, 8, 1)",0.0
263,"return u""",0.0
264,return None,0.0
265,"logging.info(""[VOC] keep %d images"" % len(imgs_file_list_new))",0.0
266,log.info('Verification successful. Checksums match'),0.0
267,"To modify unique fields, you must use the primary key for the lookup.",1.0
268,language = tags.tag(language).format,0.0
269,"return (self._okToExit(), [])",0.0
270,given `samplerate`. Better the resampling quality = slower runtime.,1.0
271,"bias_initializer='zeros', kernel_initializer='zeros',",0.0
272,current reaction bounds.,1.0
273,"ip_pool['start'],",0.0
274,or cmd.maxObjSize is not None:,0.0
275,if not shape:,0.0
276,"adjust_joint.append((-1000, -1000))",0.0
277,"for i in xrange(end_line, min(end_line + 3, clean_lines.NumLines())):",0.0
278,">>> round(cmp.dist('cat', 'hat'), 12)",1.0
279,y_axis_formatter = FuncFormatter(utils.two_dec_places),0.0
280,"ifilter = np.zeros(superints.shape[0], dtype=np.bool_)",0.0
281,"white, red, brown, turquoise, bold, darkred, darkgreen, reset,",1.0
282,def start_watching(self):,0.0
283,f._deactivated(),0.0
284,store the new seed on top of fseq list,1.0
285,modes = {},0.0
286,"'cr_blocksize':[hdrinfo['crblksz']],",0.0
287,"includeHidden:  If False, this will only return the number of models",1.0
288,print('Waiting for predecessor jobs to complete...'),0.0
289,:param topology:,1.0
290,@brief Returns list of children of node.,1.0
291,return [group.name for group in obj.user.groups.filter(name__in=ENTERPRISE_PERMISSION_GROUPS)],0.0
292,'Make a new Match object from a sequence or iterable',0.0
293,--------,1.0
294,return self.__initialize_kmeans(),0.0
295,"- `""CDN""` compiles a single HTML page with links to scripts hosted on a CDN,",1.0
296,"tup = self._data.pop(key.lower(), default)",0.0
297,time.sleep(0.1),0.0
298,"img = tf.random_crop(img, [24, 24, 3])",0.0
299,"img[s[0]:to[0], ... s[end]:to[end], ...]",1.0
300,for name in os.listdir(data_dir):,0.0
301,"this, _args",0.0
302,return ret,0.0
303,input model with unused reactions removed,1.0
304,inv_variance = numpy.linalg.pinv(covariance),0.0
305,blocks = Delegate.blocks(delegate_pubkey),0.0
306,"def visit(self, node, use_fixed_point=False):",0.0
307,"'-XX:+PrintGCTimeStamps',",0.0
308,raise RuntimeError('Could not delete {}.'.format(self.path)),0.0
309,"_shift_field_positions_global(rec, min(tag_field_positions_global),",0.0
310,of the dir that heron-shell is running in. This ensures,1.0
311,"rc.setdefault(name, val)",0.0
312,time_stamp = 0,0.0
313,"sql.SQL(', ').join([sql.Identifier(x) for x in columns]),",1.0
314,row = mesh.consuming_row,0.0
315,output file path,1.0
316,"start time to ``max(0, trimmed_annotation.time - start_time)`` and the",1.0
317,"result, color=color_lines, alpha=alpha_lines,",0.0
318,":Return: time, in seconds, when the next item expires or `None`",1.0
319,wait_list.remove(procid),0.0
320,"periods_per_year: int, the number of times money is invested per year.",1.0
321,Or call this if you want really custom T1 and T2 (multiple per sweep),1.0
322,running_jobs.add(job_id),0.0
323,This should be used for persistent configuration files.,1.0
324,T : float,1.0
325,- `timeout`: `int`,1.0
326,payload=payload),0.0
327,"for i in range(0, 16):",0.0
328,this_mags = this_mags[tsi],0.0
329,if Ks.min() < 1:,0.0
330,import snipy.database as db,1.0
331,"def plot(self, **kargs):",0.0
332,figure out all vartypes,1.0
333,* ``uint16``: ?,1.0
334,:param display:,1.0
335,elif method == CRC_HVAP_TB:,0.0
336,linenum: The number of the line to check.,1.0
337,if scale >= 1.:,0.0
338,"data = super(IndexBuilder, self).freeze()",0.0
339,"with h5py.File(self.database.input, 'a') as io5:",0.0
340,"resource_id=rule_id,",0.0
341,return token,0.0
342,=========================================================================,1.0
343,j0 = source.index(targetorder[i0]),0.0
344,if from_jid:,0.0
345,lcdict['filters'] = filters[1:],0.0
346,for row in range(len(data)):,0.0
347,start += 'echo \'Starting Nginx...\'\n',0.0
348,Extract a package in a new directory.,1.0
349,b = int(floor(level / 10.0)),0.0
350,"arrays, unless allow_lists is specified.",1.0
351,return self.file_response(,0.0
352,"def SetActive(self, waitTime: float = OPERATION_WAIT_TIME) -> bool:",0.0
353,"'breadth_path':None,",0.0
354,pushing to Akamai's new RTMP HD ingest point where this parameter,1.0
355,"def path(self, value):",0.0
356,"print(""Nothing to do. Enabled by default"")",0.0
357,if six.PY2:,0.0
358,def _getModelExtraDataDir(saveModelDir):,0.0
359,-------,1.0
360,"and so we will make sample.files.dereps == [derep1, derep2], but for",1.0
361,"b = get_blockade(config, opts)",0.0
362,"Update params, error, break:",1.0
363,and word[hyphen + 1 :].isalpha(),0.0
364,if code is None:,0.0
365,if output:,0.0
366,"df = pd.DataFrame(shortInterest(symbol, date, token, version))",0.0
367,process_sentence.append(end_word),0.0
368,key_handle = None,0.0
369,control the minimum and maximum period interval to be searched when,1.0
370,iterations = 0,0.0
371,retval:         nothing,1.0
372,"If True, function will determine which methods can be used to obtain",1.0
373,@return: bool,1.0
374,+ str(statresults[stat.ST_MTIME]),0.0
375,----------,1.0
376,self.segment_id = segment_id,0.0
377,for var in searchspace:,0.0
378,A 'bytes' containing serialized MessagePack bytes.,1.0
379,binned_finite_phaseseries_indices = [np.array(x) for x in,0.0
380,keystoget.append(sortkeys),0.0
381,* encoding,1.0
382,msg = ERROR_MESSAGES['PKG_LIC_FFILE_VALUE'].format(p.lineno(1)),0.0
383,"sname+""_R1_.fastq.gz""),",0.0
384,subs.remove(unichr(i[1])),0.0
385,"address=i[0],",0.0
386,"samples = reader.get_chain(discard=n_to_discard, flat=True)",0.0
387,LOGWARNING('output filename ends with .gz but kwarg outgzip=False. ',0.0
388,"data = self.get_data(""droplets/"", type=POST, params=data)",0.0
389,"_dirDict = [nd for nd in dirList  if isinstance(nd,dict)]",0.0
390,return self.message_class(,0.0
391,objectid = cpdict['objectid'],0.0
392,"guess_type=guess_type, has_header=True, use_types={})",1.0
393,if sleep_for > 0:,0.0
394,open file,1.0
395,"'-q', '--quiet', action='store_true', default=None,",0.0
396,Parse the course ID from the course run ID.,1.0
397,"not sample the same quartet twice, so for very large trees this can",1.0
398,"tar_file,",0.0
399,"return self.request(path, method, call_params)",0.0
400,self._clear(),0.0
401,pfpicklelist : list of str or list of Nones,1.0
402,anat2func_lin_xfm_filepath: str,1.0
403,"If the passphrases are the same, there's no reason to decrypt",1.0
404,return None,0.0
405,"return self._execute(query, working_columns=working_columns)",0.0
406,bases = [bases],0.0
407,with open(self.data) as indata:,0.0
408,:param s: a list of `p` sorted eigen values,1.0
409,elif d1[k] is None:,0.0
410,ret = response['result'],0.0
411,@param {String} dir_path - The directory containing the image file,1.0
412,return self.copy(coords=coords),0.0
413,"for pin in range(0, self.total_pins_discovered):",0.0
414,if (point_cluster_index == current_medoid_cluster_index):,0.0
415,print time from t0,1.0
416,self.metrics_manager_port),0.0
417,c = yaml.safe_load(f),0.0
418,cb = CommentBlocker(),0.0
419,r.env.migrate_database = '--database=%s' % database if database else '',0.0
420,"func(c_uint(self.id), target_type(target_value))",0.0
421,else:,0.0
422,url : str,1.0
423,Cram context variables into the local scope,1.0
424,calculate the scalar products of the target and template magseries,1.0
425,"if fail, set status back to pending",1.0
426,isect = [],0.0
427,place that into a new image at the expected parameters,1.0
428,"'sha384': 48,",0.0
429,"if isinstance(self.params.bucky_alpha, list):",0.0
430,for templateFileName in templateFileNames:,0.0
431,"``trim_start = max(self.time, start_time)`` and ``trim_end =",1.0
432,description,1.0
433,try:,0.0
434,else:,0.0
435,raise TypeError('iterator_size must be integer.'),0.0
436,with formatter.section('Other Options'):,0.0
437,def _parse_document_id(elm_tree):,0.0
438,Return True if a part of the two bounds overlaps.,1.0
439,"r'''Gas-phase molar volume of the mixture at 298.15 K and 101.325 kPa,",1.0
440,max: <zoom>,1.0
441,pass,0.0
442,"rslt = pop(ol,0,mode=mode)",0.0
443,"r""""""",1.0
444,cwd = os.path.abspath(os.path.curdir),0.0
445,-------,1.0
446,seen.add(obj_id),0.0
447,break,0.0
448,"If SE the -d flag is negative, specifying that SE reads need to",1.0
449,:returns: encrypted message,1.0
450,0.24100000000000002,1.0
451,if validations.validate_pkg_originator(entity):,0.0
452,else:,0.0
453,your monthly take-home pay.,1.0
454,formats : list,1.0
455,"ax_txn_timings = plt.subplot(gs[3, :])",0.0
456,now join lines back,1.0
457,continue,0.0
458,if server_software.startswith('Google App Engine/'):,0.0
459,if s is None:,0.0
460,"y_mat = np.zeros((Nframe,int(Nframe*N)))",0.0
461,if len(assignment) == len(csp.vars):,0.0
462,Returns,1.0
463,"def _transmit_create(self, channel_metadata_item_map):",0.0
464,"def handle_copy(self, dest_path, depth_infinity):",0.0
465,"failure_message = ""Get status on ml configuration failed""",0.0
466,"This sets the lower & upper bounds on uniform prior, e.g.::",1.0
467,M is the number of independent frequencies,1.0
468,"line is redundant and could be replaced by key = key_salt + secret, since",1.0
469,applicable for rolling playlists.,1.0
470,self.VDI_Tmin = Ts[0],0.0
471,Critical pressure of fluid [Pa],1.0
472,"errcols=errcols,",0.0
473,complete_query_later=True,0.0
474,result = executable_function(*args);,0.0
475,run containers subcommand,1.0
476,self._dirty = True,0.0
477,claDescriptionTemplateFile):,0.0
478,Returns,1.0
479,items.sort(),0.0
480,padding=200,0.0
481,else:,0.0
482,return self.__centers,0.0
483,"context, scope=db_api.ALL, **filter_dict)",0.0
484,ARGS:,1.0
485,Parameters,1.0
486,return jsonld,0.0
487,. numberOfDirectories (integer): Number of diretories in repository,1.0
488,dtype: data type,1.0
489,Thermodynamic Properties of Fluids. III. Empirical Equation for the,1.0
490,"err, ac = sess.run([cost, acc], feed_dict=feed_dict)",0.0
491,Get model information,1.0
492,if('mode' in kwargs):,0.0
493,if ( (upper_right_index >= 0) and (math.floor(upper_right_index / side_size) == upper_row_index) ):,0.0
494,stream.disconnect(),0.0
495,Result and computation data-type.,1.0
496,cmd = cmd.split('\x00'),0.0
497,"def get_sha(a_file, settings=None):",0.0
498,"ra,decl : float",1.0
499,"'wsgidav MAKE_DAILY_BUILD.launch',",1.0
500,```,1.0
501,run pre-generate scripts for all components:,1.0
502,Keep track for SymbolicFile testcase generation,1.0
503,'\x82\xa7compact\xc3\xa6schema\x00',1.0
504,:py:class:`Effect` class,1.0
505,is successful.,1.0
506,handler.setFormatter(formatter),0.0
507,inline will be available directly under this name ),1.0
508,Molar volume of the fluid at temperature [K],1.0
509,"def update_records(self, model, qs, batch_size=1000, **kwargs):",0.0
510,"def known_publish_date_tags(self, val):",0.0
511,if grp_wise:,0.0
512,item currently at the head of the queue.,1.0
513,Finds an element on the page.,1.0
514,self._short_title = None,0.0
515,Coefficients as follows:,1.0
516,:param column: (int) Column index,1.0
517,Batch map offsets into input,1.0
518,result = model.run({,0.0
519,if cds_list[0]['phase'] != 0:,0.0
520,.. code-block:: python,1.0
521,return network,0.0
522,pkcs12_val = to_serialize.get(_PKCS12_KEY),0.0
523,"nobraces = kwargs.pop('nobr', kwargs.pop('nobraces', False))",0.0
524,if not account:,0.0
525,ofunc = gzip.open,0.0
526,"[a,b] = arg_strs",0.0
527,"def create_series(self, num_series, batch_size=5000):",0.0
528,"unique_extend(ldflags, ['/MANIFEST'])",0.0
529,If force=True then existing files with the same name,1.0
530,if j == 0:,0.0
531,def combine_files(*args):,0.0
532,assert n == 0,0.0
533,"mimicdb.backend.sadd(tpl.bucket % bucket.name, key.name)",0.0
534,Args:,1.0
535,"self._knnclassifier.compute(inputs, outputs)",0.0
536,Similar to attaching semantic actions to rules in traditional parser generators.,1.0
537,"data = self.get_data(""load_balancers"")",0.0
538,"def get_expiration_date(self, fn):",0.0
539,self.interactiveConsole.process_finished.connect(,0.0
540,Rename an image,1.0
541,RRc         3 to 6   uniform  0.10--0.40     uniform,1.0
542,"user, project_name = get_project_or_local(ctx.obj.get('project'))",0.0
543,reward=reward,0.0
544,"(lcformat, basedir))",0.0
545,help = 'Print XML data sent and received'),0.0
546,set up some internal stuff,1.0
547,filename (str): Where to save chip.,1.0
548,finalparam_arrs = [],0.0
549,Return a tuple of path to resources and connection to sqlite db.,1.0
550,Whether the particle was removed.,1.0
551,d = int(d),0.0
552,if token is None:,0.0
553,if not logging_uri.endswith('.log'):,0.0
554,"def make_error_response(self, message):",0.0
555,continue,0.0
556,"return 0, tagged_params",0.0
557,"print(tabulate(table, headers=headers))",0.0
558,session.headers['content-type'] = 'application/json',0.0
559,:param buf: address of zero-terminated pathname,1.0
560,Args:,1.0
561,try: from web import _ctx,0.0
562,"return has_protein_modification(graph, source) and part_has_modifier(edge_data, OBJECT, ACTIVITY)",0.0
563,:return: No return value,1.0
564,but only have action-combinations (maybe even continuous) available from the env.,1.0
565,if len(args[0]) > 0:,0.0
566,"""Arn"": ...,",1.0
567,ctx.obj['experiment'] = experiment,0.0
568,"* route - web route to register, uses Flask syntax",1.0
569,Parameters,1.0
570,"cmd = ""mongod --port {0}"".format(port)",0.0
571,"modulus_byte_length = native(int, blob_struct.cbModulus)",0.0
572,instances and updates `_element_handlers` mapping with their,1.0
573,self._logger.exception('Could not convert latex body to plain ',0.0
574,The default is to _logger.info a traceback and continue.,1.0
575,parameters = dict(),0.0
576,The cobra model to assess production capacity for,1.0
577,"if isinstance(segment, basestring):",0.0
578,"""indels"",",0.0
579,if bssid is not None:,0.0
580,"6: {2: 0.673..., 4: 0.326...},",1.0
581,if k == -1:,0.0
582,'no suitable compiled MIB %s found anywhere' % mibname),0.0
583,if tau <= 1.0:,0.0
584,lcdir : list of str,1.0
585,"return time.strptime(timestring, ""%a %b %d %H:%M:%S %Y"")",0.0
586,return False,0.0
587,dtype=GetNTAReal()),0.0
588,"return _runSSE('security-event', symbols, on_data, token, version)",0.0
589,"the model fit, among others.",1.0
590,"dereference_resource_descriptor(resource, base_path, descriptor)",0.0
591,Parameters,1.0
592,//PSRLQ instruction with 128-bit operand:,1.0
593,"modelplotphase, modelplotmags = None, None",0.0
594,Generate a unique anchor prefix so multiple tables,1.0
595,"self._MESSAGE_DELAY_SECS, self._clear_message",0.0
596,try:,0.0
597,"The fraction of the figure that the colorbar takes up, which resizes the colorbar relative to the figure.",1.0
598,"name='{0}{1}'.format(vpn_name, config_suffix),",0.0
599,"first, last = line_begins[lineno:lineno + 2]",0.0
600,"for settings_index in range(0, settings_length):",0.0
601,if not (Type(px) == 'String' and Type(py) == 'String'):,0.0
602,layout : str,1.0
603,if os.path.exists(filename):,0.0
604,return output,0.0
605,Increment time,1.0
606,alloc_pools_per_subnet=len(alloc_pools)),0.0
607,f.close(),0.0
608,code = request.args['code'],0.0
609,:py:func:`astrobase.lcproc.catalogs.filter_lclist`.,1.0
610,"for specific keys will be reduced to unique items. For lists, items",1.0
611,"Number of the dimensions to check, i.e., if == 3 then will check only the 3 first numbers of array.shape.",1.0
612,bits = token.split_contents(),0.0
613,"ha='center',va='center',transform=inset.transAxes)",0.0
614,"g_currentVerbosityLevel = options[""verbosityCount""]",0.0
615,"help='User labels to match. Tasks returned must match all labels.',",0.0
616,end_time = self.get_argument_endtime(),0.0
617,lastKeyValue = text[i],0.0
618,E.g. `'{0:.2%}'.format` for displaying 100 as '100.00%'.,1.0
619,keep = [],0.0
620,"cursor.execute(, (publication_id,))",0.0
621,kwargs['CapChg'] = True,0.0
622,"read2s[3].strip()[::-1] + ""\n"",",0.0
623,"def dump(self, offset=0, length=1):",0.0
624,if self.parent is None or self.index is None:,0.0
625,"ignore_duplicate_subfields=False,",0.0
626,r'(?:[^\w]&\(([^)*][^)]*)\)[\w(])|',0.0
627,if op.exists(path):,0.0
628,dev-extensions.,1.0
629,job_name : str,1.0
630,"r = requests.post(url, data=payload, headers=headers)",0.0
631,Calculate the fps (frame per second),1.0
632,e.HelloWorld HelloWorld d d,1.0
633,finds interval of the interpolation in which x lies.,1.0
634,"This is a helper function, but the google APIs url is standardized.",1.0
635,<FileFormatSpecification>`.,1.0
636,version = capture('python setup.py --version'),0.0
637,Model storage (but not session storage) requires a logged in user,1.0
638,msg = ERROR_MESSAGES['LICS_ID_VALUE'].format(p.lineno(1)),0.0
639,mrbayes nexus block 'mcmc ngen' and 'mcmc printfreq' parameters. We don't really,1.0
640,qry = DbCursor().execute_and_fetchall(),0.0
